aar,fylke_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,00,1,0,35538,sysselsatte_kjonn_land,personer
2006,00,1,1,44355,sysselsatte_kjonn_land,personer
2006,00,1,alle,79893,sysselsatte_kjonn_land,personer
2006,00,2,0,47163,sysselsatte_kjonn_land,personer
2006,00,2,1,54355,sysselsatte_kjonn_land,personer
2006,00,2,alle,101518,sysselsatte_kjonn_land,personer
2006,00,alle,0,1125809,sysselsatte_kjonn_land,personer
2006,00,alle,1,1262851,sysselsatte_kjonn_land,personer
2006,00,alle,alle,2388660,sysselsatte_kjonn_land,personer
2006,01,1,0,1695,sysselsatte_kjonn_land,personer
2006,01,1,1,2269,sysselsatte_kjonn_land,personer
2006,01,1,alle,3964,sysselsatte_kjonn_land,personer
2006,01,2,0,2313,sysselsatte_kjonn_land,personer
2006,01,2,1,2650,sysselsatte_kjonn_land,personer
2006,01,2,alle,4963,sysselsatte_kjonn_land,personer
2006,01,alle,0,60182,sysselsatte_kjonn_land,personer
2006,01,alle,1,67913,sysselsatte_kjonn_land,personer
2006,01,alle,alle,128095,sysselsatte_kjonn_land,personer
2006,02,1,0,5950,sysselsatte_kjonn_land,personer
2006,02,1,1,6563,sysselsatte_kjonn_land,personer
2006,02,1,alle,12513,sysselsatte_kjonn_land,personer
2006,02,2,0,5991,sysselsatte_kjonn_land,personer
2006,02,2,1,6524,sysselsatte_kjonn_land,personer
2006,02,2,alle,12515,sysselsatte_kjonn_land,personer
2006,02,alle,0,127911,sysselsatte_kjonn_land,personer
2006,02,alle,1,138802,sysselsatte_kjonn_land,personer
2006,02,alle,alle,266713,sysselsatte_kjonn_land,personer
2006,03,1,0,8456,sysselsatte_kjonn_land,personer
2006,03,1,1,9684,sysselsatte_kjonn_land,personer
2006,03,1,alle,18140,sysselsatte_kjonn_land,personer
2006,03,2,0,14396,sysselsatte_kjonn_land,personer
2006,03,2,1,20091,sysselsatte_kjonn_land,personer
2006,03,2,alle,34487,sysselsatte_kjonn_land,personer
2006,03,alle,0,141706,sysselsatte_kjonn_land,personer
2006,03,alle,1,151716,sysselsatte_kjonn_land,personer
2006,03,alle,alle,293422,sysselsatte_kjonn_land,personer
2006,04,1,0,990,sysselsatte_kjonn_land,personer
2006,04,1,1,1050,sysselsatte_kjonn_land,personer
2006,04,1,alle,2040,sysselsatte_kjonn_land,personer
2006,04,2,0,935,sysselsatte_kjonn_land,personer
2006,04,2,1,920,sysselsatte_kjonn_land,personer
2006,04,2,alle,1855,sysselsatte_kjonn_land,personer
2006,04,alle,0,43209,sysselsatte_kjonn_land,personer
2006,04,alle,1,48600,sysselsatte_kjonn_land,personer
2006,04,alle,alle,91809,sysselsatte_kjonn_land,personer
2006,05,1,0,922,sysselsatte_kjonn_land,personer
2006,05,1,1,979,sysselsatte_kjonn_land,personer
2006,05,1,alle,1901,sysselsatte_kjonn_land,personer
2006,05,2,0,959,sysselsatte_kjonn_land,personer
2006,05,2,1,968,sysselsatte_kjonn_land,personer
2006,05,2,alle,1927,sysselsatte_kjonn_land,personer
2006,05,alle,0,43857,sysselsatte_kjonn_land,personer
2006,05,alle,1,49396,sysselsatte_kjonn_land,personer
2006,05,alle,alle,93253,sysselsatte_kjonn_land,personer
2006,06,1,0,2041,sysselsatte_kjonn_land,personer
2006,06,1,1,2485,sysselsatte_kjonn_land,personer
2006,06,1,alle,4526,sysselsatte_kjonn_land,personer
2006,06,2,0,2746,sysselsatte_kjonn_land,personer
2006,06,2,1,3154,sysselsatte_kjonn_land,personer
2006,06,2,alle,5900,sysselsatte_kjonn_land,personer
2006,06,alle,0,60659,sysselsatte_kjonn_land,personer
2006,06,alle,1,67285,sysselsatte_kjonn_land,personer
2006,06,alle,alle,127944,sysselsatte_kjonn_land,personer
2006,07,1,0,1513,sysselsatte_kjonn_land,personer
2006,07,1,1,1865,sysselsatte_kjonn_land,personer
2006,07,1,alle,3378,sysselsatte_kjonn_land,personer
2006,07,2,0,1814,sysselsatte_kjonn_land,personer
2006,07,2,1,1803,sysselsatte_kjonn_land,personer
2006,07,2,alle,3617,sysselsatte_kjonn_land,personer
2006,07,alle,0,52251,sysselsatte_kjonn_land,personer
2006,07,alle,1,57918,sysselsatte_kjonn_land,personer
2006,07,alle,alle,110169,sysselsatte_kjonn_land,personer
2006,08,1,0,841,sysselsatte_kjonn_land,personer
2006,08,1,1,1044,sysselsatte_kjonn_land,personer
2006,08,1,alle,1885,sysselsatte_kjonn_land,personer
2006,08,2,0,1211,sysselsatte_kjonn_land,personer
2006,08,2,1,1241,sysselsatte_kjonn_land,personer
2006,08,2,alle,2452,sysselsatte_kjonn_land,personer
2006,08,alle,0,37994,sysselsatte_kjonn_land,personer
2006,08,alle,1,43104,sysselsatte_kjonn_land,personer
2006,08,alle,alle,81098,sysselsatte_kjonn_land,personer
2006,09,1,0,606,sysselsatte_kjonn_land,personer
2006,09,1,1,746,sysselsatte_kjonn_land,personer
2006,09,1,alle,1352,sysselsatte_kjonn_land,personer
2006,09,2,0,569,sysselsatte_kjonn_land,personer
2006,09,2,1,640,sysselsatte_kjonn_land,personer
2006,09,2,alle,1209,sysselsatte_kjonn_land,personer
2006,09,alle,0,23669,sysselsatte_kjonn_land,personer
2006,09,alle,1,27137,sysselsatte_kjonn_land,personer
2006,09,alle,alle,50806,sysselsatte_kjonn_land,personer
2006,10,1,0,892,sysselsatte_kjonn_land,personer
